Período de referência dos dados (1) ;Localização geográfica (NUTS - 2024);Tipo (alojamento turístico) (2) ;Dormidas (N.º) nos estabelecimentos de alojamento turístico por Localização geográfica (NUTS - 2024) e Tipo (alojamento turístico) -  Mensal;Proveitos totais (?) nos estabelecimentos de alojamento turístico por Localização geográfica (NUTS - 2024) e Tipo (alojamento turístico) -  Mensal;
Janeiro de 2025;1A: Grande Lisboa;Hotéis;786691;75251;
Dezembro de 2024;1A: Grande Lisboa;Hotéis;878938;85016;
Novembro de 2024;1A: Grande Lisboa;Hotéis;1070660;125966;
Outubro de 2024;1A: Grande Lisboa;Hotéis;1341709;177097;
Setembro de 2024;1A: Grande Lisboa;Hotéis;1348515;188117;
Agosto de 2024;1A: Grande Lisboa;Hotéis;1454085;147531;
Julho de 2024;1A: Grande Lisboa;Hotéis;1335279;146172;
Junho de 2024;1A: Grande Lisboa;Hotéis;1261929;162057;
Maio de 2024;1A: Grande Lisboa;Hotéis;1359596;174250;
Abril de 2024;1A: Grande Lisboa;Hotéis;1221228;138052;
Março de 2024;1A: Grande Lisboa;Hotéis;1161180;117343;
Fevereiro de 2024;1A: Grande Lisboa;Hotéis;892926;79972;
Janeiro de 2024;1A: Grande Lisboa;Hotéis;733773;67049;
Dezembro de 2023;1A: Grande Lisboa;Hotéis;852859;79569;
Novembro de 2023;1A: Grande Lisboa;Hotéis;1004108;110608;
Outubro de 2023;1A: Grande Lisboa;Hotéis;1306218;156770;
Setembro de 2023;1A: Grande Lisboa;Hotéis;1316958;163475;
Agosto de 2023;1A: Grande Lisboa;Hotéis;1370678;141849;
Julho de 2023;1A: Grande Lisboa;Hotéis;1269443;137017;
Junho de 2023;1A: Grande Lisboa;Hotéis;1196441;145018;
Maio de 2023;1A: Grande Lisboa;Hotéis;1286010;154687;
Abril de 2023;1A: Grande Lisboa;Hotéis;1206271;126976;
Março de 2023;1A: Grande Lisboa;Hotéis;1065466;100159;
Fevereiro de 2023;1A: Grande Lisboa;Hotéis;831198;68308;
Janeiro de 2023;1A: Grande Lisboa;Hotéis;757835;61797;
Dezembro de 2022;1A: Grande Lisboa;Hotéis;809029;71203;
Novembro de 2022;1A: Grande Lisboa;Hotéis;954368;101846;
Outubro de 2022;1A: Grande Lisboa;Hotéis;1220269;139719;
Setembro de 2022;1A: Grande Lisboa;Hotéis;1251988;144107;
Agosto de 2022;1A: Grande Lisboa;Hotéis;1367597;123096;
Julho de 2022;1A: Grande Lisboa;Hotéis;1282937;128794;
Junho de 2022;1A: Grande Lisboa;Hotéis;1161921;124824;
Maio de 2022;1A: Grande Lisboa;Hotéis;1146772;116094;
Abril de 2022;1A: Grande Lisboa;Hotéis;1076589;99981;
Março de 2022;1A: Grande Lisboa;Hotéis;800838;63378;
Fevereiro de 2022;1A: Grande Lisboa;Hotéis;545310;36719;
Janeiro de 2022;1A: Grande Lisboa;Hotéis;339822;23485;
